# coordinator_comparison mode=broker n=10 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 10/10 → client sees 10 workers, 11 peers; broker has 11 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
broker,10,3,0,0,346,false
broker,10,4,0,0,439,false
broker,10,5,0,0,454,false
broker,10,6,0,0,300,false
broker,10,7,0,0,462,false
broker,10,8,0,0,300,false
broker,10,9,0,0,422,false
broker,10,10,0,0,520,false
broker,10,11,0,0,238,false
broker,10,12,0,4,1027,true
broker,10,13,3,3,271,false
broker,10,14,3,3,600,false
broker,10,15,3,3,516,false
broker,10,16,3,3,211,false
broker,10,17,2,2,154,false
broker,10,18,2,2,362,false
broker,10,19,2,2,364,false
broker,10,20,2,2,340,false
broker,10,21,2,2,304,false
broker,10,22,0,0,216,false
broker,10,23,0,0,233,false
broker,10,24,0,0,425,false
broker,10,25,0,0,286,false
broker,10,26,0,0,1884,false
broker,10,27,0,0,197,false
broker,10,28,0,0,382,false
broker,10,29,0,0,382,false
broker,10,30,0,0,385,false
broker,10,31,2,2,289,false
broker,10,32,2,2,226,false
broker,10,33,2,2,374,false
broker,10,34,2,2,349,false
broker,10,35,2,2,376,false
broker,10,36,2,2,216,false
broker,10,37,2,2,362,false
broker,10,38,2,2,516,false
broker,10,39,2,2,261,false
broker,10,40,0,0,193,false
broker,10,41,0,0,262,false
broker,10,42,0,0,405,false
broker,10,43,0,0,404,false
broker,10,44,0,0,427,false
broker,10,45,2,2,216,false
broker,10,46,2,2,408,false
broker,10,47,2,2,336,false
broker,10,48,2,2,522,false
broker,10,49,0,0,281,false
broker,10,50,0,0,427,false
broker,10,51,0,0,255,false
broker,10,52,0,0,269,false
broker,10,53,0,0,299,false
broker,10,63,7,7,608,false
broker,10,64,7,7,347,false
broker,10,65,7,7,435,false
broker,10,66,7,7,431,false
broker,10,67,7,7,275,false
broker,10,68,7,7,357,false
broker,10,69,7,7,257,false
broker,10,70,7,7,443,false
broker,10,71,11,11,149,false
broker,10,72,11,11,261,false
broker,10,73,11,11,219,false
broker,10,74,11,11,446,false
broker,10,75,11,11,403,false
broker,10,76,10,10,277,false
broker,10,77,10,10,277,false
broker,10,78,10,10,428,false
broker,10,79,10,10,360,false
broker,10,80,10,10,374,false
broker,10,81,10,10,435,false
broker,10,82,10,10,352,false
broker,10,83,10,10,353,false
broker,10,84,10,10,410,false
broker,10,85,9,9,230,false
broker,10,86,9,9,270,false
broker,10,87,9,9,282,false
broker,10,88,9,9,269,false
broker,10,89,9,9,219,false
broker,10,90,5,5,618,false
broker,10,91,5,5,441,false
broker,10,92,5,5,466,false
broker,10,93,5,5,370,false
broker,10,94,3,3,992,false
broker,10,95,3,3,379,false
broker,10,96,3,3,396,false
broker,10,97,3,3,233,false
broker,10,98,3,3,408,false
broker,10,99,8,8,348,false
broker,10,100,8,8,259,false
broker,10,101,8,8,328,false
broker,10,102,8,8,247,false
broker,10,103,8,7,381,false
broker,10,104,7,7,257,false
broker,10,105,7,7,378,false
broker,10,106,7,7,234,false
broker,10,107,7,7,456,false
broker,10,108,7,7,229,false
broker,10,109,7,7,274,false
broker,10,110,7,7,1980,false
broker,10,111,7,7,374,false
broker,10,112,7,7,472,false
broker,10,113,7,7,362,false
broker,10,114,7,7,385,false
broker,10,115,7,7,449,false
broker,10,116,7,7,378,false
broker,10,117,7,7,325,false
broker,10,118,7,7,205,false
broker,10,119,7,7,386,false
broker,10,120,7,7,425,false
broker,10,121,7,7,253,false
broker,10,122,4,4,195,false
broker,10,123,4,4,204,false
broker,10,124,4,4,196,false
broker,10,125,4,4,331,false
broker,10,126,6,6,291,false
broker,10,127,6,6,354,false
broker,10,128,6,6,397,false
broker,10,129,6,6,202,false
broker,10,130,6,6,368,false
broker,10,131,4,4,375,false
broker,10,132,4,4,335,false
broker,10,133,4,4,238,false
broker,10,134,4,4,250,false
broker,10,135,7,7,885,false
broker,10,136,7,7,238,false
broker,10,137,7,7,198,false
broker,10,138,7,7,292,false
broker,10,139,7,7,391,false
broker,10,140,3,3,241,false
broker,10,141,3,3,237,false
broker,10,142,3,3,412,false
broker,10,143,3,3,271,false
broker,10,144,3,3,316,false
broker,10,145,5,5,209,false
broker,10,146,5,5,382,false
broker,10,147,5,5,214,false
broker,10,148,5,5,205,false
broker,10,149,8,8,291,false
broker,10,150,8,8,372,false
broker,10,151,8,8,213,false
broker,10,152,8,8,390,false
broker,10,153,8,8,413,false
broker,10,154,6,6,384,false
broker,10,155,6,6,258,false
broker,10,156,6,6,298,false
broker,10,157,6,6,195,false
broker,10,158,9,9,752,false
broker,10,159,9,9,248,false
broker,10,160,9,9,217,false
broker,10,161,9,9,246,false
broker,10,162,9,9,272,false
broker,10,163,11,11,222,false
broker,10,164,11,11,289,false
broker,10,165,11,11,300,false
broker,10,166,11,11,460,false
broker,10,167,13,13,2141,false
broker,10,168,13,13,319,false
broker,10,169,13,13,312,false
broker,10,170,13,13,273,false
broker,10,171,13,13,434,false
broker,10,172,9,9,430,false
broker,10,173,9,9,383,false
broker,10,174,9,9,283,false
broker,10,175,9,9,329,false
broker,10,176,9,9,316,false
broker,10,177,12,12,187,false
broker,10,178,12,12,362,false
broker,10,179,12,12,304,false
broker,10,180,12,12,428,false
broker,10,181,11,11,158,false
broker,10,182,11,11,451,false
broker,10,183,11,11,312,false
broker,10,184,11,11,235,false
broker,10,185,11,11,383,false
broker,10,186,7,7,350,false
broker,10,187,7,7,258,false
broker,10,188,7,7,199,false
broker,10,189,7,7,209,false
broker,10,190,10,10,758,false
broker,10,191,10,10,379,false
broker,10,192,10,10,381,false
broker,10,193,10,10,398,false
broker,10,194,10,10,409,false
broker,10,195,6,6,291,false
broker,10,196,6,6,186,false
broker,10,197,6,6,290,false
broker,10,198,6,6,410,false
broker,10,199,6,6,362,false
broker,10,200,6,6,235,false
broker,10,201,6,6,435,false
broker,10,202,6,6,494,false
broker,10,203,6,6,1421,false
broker,10,204,6,6,251,false
broker,10,205,8,8,238,false
broker,10,206,8,8,249,false
broker,10,207,8,8,215,false
broker,10,208,8,8,372,false
broker,10,209,7,7,291,false
broker,10,210,7,7,306,false
broker,10,211,7,7,294,false
broker,10,212,7,7,361,false
broker,10,213,8,8,3713,false
broker,10,214,8,8,237,false
broker,10,215,8,8,214,false
broker,10,216,8,8,327,false
broker,10,217,8,8,430,false
broker,10,218,9,9,206,false
broker,10,219,9,9,233,false
broker,10,220,9,9,277,false
broker,10,221,9,9,338,false
broker,10,222,9,9,272,false
broker,10,223,12,12,334,false
broker,10,224,12,12,343,false
broker,10,225,12,12,311,false
broker,10,226,12,12,288,false
broker,10,227,14,14,202,false
broker,10,228,14,14,377,false
broker,10,229,14,14,345,false
broker,10,230,14,14,328,false
broker,10,231,14,14,424,false
broker,10,232,12,12,332,false
broker,10,233,12,12,294,false
broker,10,234,12,12,255,false
broker,10,235,12,12,473,false
broker,10,236,12,12,4420,false
broker,10,237,12,12,293,false
broker,10,238,12,12,266,false
broker,10,239,12,12,288,false
broker,10,240,12,12,258,false
broker,10,241,14,14,487,false
broker,10,242,14,14,911,false
broker,10,243,14,14,287,false
broker,10,244,14,14,285,false
broker,10,245,14,14,452,false
broker,10,246,14,14,545,false
broker,10,247,14,14,335,false
broker,10,248,14,14,435,false
broker,10,249,14,14,981,false
broker,10,250,12,12,152,false
broker,10,251,12,12,293,false
broker,10,252,12,12,440,false
broker,10,253,12,12,263,false
broker,10,254,12,12,287,false
broker,10,255,14,14,248,false
broker,10,256,14,14,514,false
broker,10,257,14,14,322,false
broker,10,258,14,14,279,false
broker,10,259,14,14,263,false
broker,10,260,10,10,253,false
broker,10,261,10,10,252,false
broker,10,262,10,10,353,false
broker,10,263,10,10,307,false
broker,10,264,14,14,204,false
broker,10,265,14,14,317,false
broker,10,266,14,14,252,false
broker,10,267,14,14,259,false
broker,10,268,14,14,332,false
broker,10,269,16,16,267,false
broker,10,270,16,16,542,false
broker,10,271,16,16,444,false
broker,10,272,16,16,335,false
broker,10,273,16,21,632,true
broker,10,274,21,21,326,false
broker,10,275,21,21,341,false
broker,10,276,21,21,223,false
broker,10,277,21,21,448,false
broker,10,278,25,25,299,false
broker,10,279,25,25,407,false
broker,10,280,25,25,340,false
broker,10,281,25,25,410,false
