# coordinator_comparison mode=broker n=20 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 → client sees 4 workers, 5 peers; broker has 5 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
broker,20,0,29,29,292,false
broker,20,1,29,29,353,false
broker,20,2,29,29,1699,false
broker,20,3,29,29,218,false
broker,20,4,31,31,405,false
broker,20,5,31,31,382,false
broker,20,6,31,31,292,false
broker,20,7,31,31,169,false
broker,20,8,33,33,5387,false
broker,20,9,33,33,213,false
broker,20,10,33,33,399,false
broker,20,11,33,33,219,false
broker,20,12,33,33,233,false
broker,20,13,31,31,188,false
broker,20,14,31,31,237,false
broker,20,15,31,31,409,false
broker,20,16,31,31,294,false
broker,20,17,31,31,399,false
broker,20,18,35,35,222,false
broker,20,19,35,35,274,false
broker,20,20,35,35,435,false
broker,20,21,35,35,303,false
broker,20,22,34,34,366,false
broker,20,23,34,34,488,false
broker,20,24,34,34,421,false
broker,20,25,34,34,443,false
broker,20,26,34,34,278,false
broker,20,27,35,35,346,false
broker,20,28,35,35,333,false
broker,20,29,35,35,168,false
broker,20,30,35,35,426,false
broker,20,31,35,35,405,false
broker,20,32,35,35,387,false
broker,20,33,35,35,356,false
broker,20,34,35,35,407,false
broker,20,35,35,35,297,false
broker,20,36,32,32,274,false
broker,20,37,32,32,393,false
broker,20,38,32,32,420,false
broker,20,39,32,32,432,false
broker,20,40,32,32,442,false
broker,20,41,36,36,281,false
broker,20,42,36,36,393,false
broker,20,43,36,36,196,false
broker,20,44,36,36,764,false
broker,20,45,35,35,3106,false
broker,20,46,35,35,389,false
broker,20,47,35,35,322,false
broker,20,48,35,35,221,false
broker,20,49,35,35,404,false
broker,20,50,36,36,199,false
broker,20,51,36,36,437,false
broker,20,52,36,36,351,false
broker,20,53,36,36,280,false
broker,20,54,36,36,367,false
broker,20,55,32,32,399,false
broker,20,56,32,32,519,false
broker,20,57,32,32,439,false
broker,20,58,32,32,406,false
broker,20,59,28,28,2734,false
broker,20,60,28,28,415,false
broker,20,61,28,28,210,false
broker,20,62,28,28,242,false
broker,20,63,28,28,355,false
broker,20,64,24,24,340,false
broker,20,65,24,24,198,false
broker,20,66,24,24,371,false
broker,20,67,24,24,453,false
broker,20,68,24,24,225,false
broker,20,69,20,20,306,false
broker,20,70,20,20,212,false
broker,20,71,20,20,240,false
broker,20,72,20,20,262,false
broker,20,73,20,20,145,false
broker,20,74,20,20,233,false
broker,20,75,20,20,326,false
broker,20,76,20,20,241,false
broker,20,77,20,20,383,false
broker,20,78,18,18,195,false
broker,20,79,18,18,258,false
broker,20,80,18,18,280,false
broker,20,81,18,18,353,false
broker,20,82,18,18,232,false
broker,20,83,15,15,267,false
broker,20,84,15,15,438,false
broker,20,85,15,15,296,false
broker,20,86,15,15,283,false
broker,20,87,16,16,244,false
broker,20,88,16,16,494,false
broker,20,89,16,16,316,false
broker,20,90,16,16,230,false
broker,20,91,16,16,364,false
broker,20,92,13,13,497,false
broker,20,93,13,13,782,false
broker,20,94,12,12,265,false
broker,20,95,12,12,265,false
broker,20,96,17,17,441,false
broker,20,97,17,17,357,false
broker,20,98,17,17,387,false
broker,20,99,17,17,424,false
broker,20,100,20,20,1830,false
broker,20,101,20,20,327,false
broker,20,102,20,20,211,false
broker,20,103,20,20,276,false
broker,20,104,20,20,580,false
broker,20,105,24,24,252,false
broker,20,106,24,24,476,false
broker,20,107,24,24,358,false
broker,20,108,24,24,383,false
broker,20,109,24,24,237,false
broker,20,110,24,24,392,false
broker,20,111,24,24,316,false
broker,20,112,24,24,229,false
broker,20,113,24,24,225,false
broker,20,114,28,28,141,false
broker,20,115,28,28,470,false
broker,20,116,28,28,254,false
broker,20,117,28,28,291,false
broker,20,118,28,28,217,false
broker,20,119,29,29,207,false
broker,20,120,29,29,270,false
broker,20,121,29,29,338,false
broker,20,122,29,29,346,false
broker,20,123,27,27,3510,false
broker,20,124,27,27,468,false
broker,20,125,27,27,349,false
broker,20,126,27,27,382,false
broker,20,127,27,27,251,false
broker,20,128,26,26,149,false
broker,20,129,26,26,418,false
broker,20,130,26,26,371,false
broker,20,131,26,26,381,false
broker,20,132,26,26,371,false
broker,20,133,23,23,246,false
broker,20,134,23,23,433,false
broker,20,135,23,23,188,false
broker,20,136,23,23,195,false
broker,20,137,20,20,610,false
broker,20,138,20,20,420,false
broker,20,139,20,20,289,false
broker,20,140,20,20,341,false
broker,20,141,20,20,331,false
broker,20,142,22,22,537,false
broker,20,143,22,22,638,false
broker,20,144,22,22,549,false
broker,20,145,22,22,414,false
broker,20,146,25,25,270,false
broker,20,147,25,25,394,false
broker,20,148,25,25,446,false
broker,20,149,25,25,440,false
broker,20,150,25,25,385,false
broker,20,151,22,22,295,false
broker,20,152,22,22,284,false
broker,20,153,22,22,427,false
broker,20,154,22,22,359,false
broker,20,155,20,20,2772,false
broker,20,156,20,20,459,false
broker,20,157,20,20,406,false
broker,20,158,20,20,361,false
broker,20,159,20,20,205,false
broker,20,160,23,23,277,false
broker,20,161,23,23,409,false
broker,20,162,23,23,350,false
broker,20,163,23,23,217,false
broker,20,164,23,23,248,false
broker,20,165,23,23,331,false
broker,20,166,23,23,478,false
broker,20,167,23,23,285,false
broker,20,168,23,23,433,false
broker,20,169,21,21,255,false
broker,20,170,21,21,233,false
broker,20,171,21,21,398,false
broker,20,172,21,21,307,false
broker,20,173,21,21,337,false
broker,20,174,18,18,403,false
broker,20,175,18,18,234,false
broker,20,176,18,18,2132,false
broker,20,177,6,6,3705,false
broker,20,178,6,6,325,false
broker,20,179,6,6,392,false
broker,20,180,9,9,3630,false
broker,20,181,9,9,542,false
broker,20,182,9,9,531,false
broker,20,183,9,9,497,false
broker,20,184,9,6,310,false
broker,20,185,6,6,847,false
broker,20,186,6,6,340,false
broker,20,187,6,6,513,false
broker,20,188,6,6,749,false
broker,20,189,2,2,5985,false
broker,20,190,2,2,279,false
broker,20,191,2,2,351,false
