# coordinator_comparison mode=gossip n=10 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 10/10 → client sees 10 workers, 10 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,10,0,0,0,17,false
gossip,10,1,0,0,30,false
gossip,10,2,0,0,37,false
gossip,10,3,0,0,26,false
gossip,10,4,0,0,33,false
gossip,10,5,0,0,15,false
gossip,10,6,0,0,29,false
gossip,10,7,0,0,59,false
gossip,10,8,0,0,12,false
gossip,10,9,0,0,35,false
gossip,10,10,0,0,17,false
gossip,10,11,0,0,28,false
gossip,10,12,0,0,18,false
gossip,10,13,0,0,30,false
gossip,10,14,0,0,14,false
gossip,10,15,0,0,17,false
gossip,10,16,0,0,27,false
gossip,10,17,0,0,28,false
gossip,10,18,0,0,29,false
gossip,10,19,0,0,16,false
gossip,10,20,0,0,32,false
gossip,10,21,0,0,29,false
gossip,10,22,0,0,20,false
gossip,10,23,0,0,27,false
gossip,10,24,0,0,30,false
gossip,10,25,0,0,29,false
gossip,10,26,0,0,29,false
gossip,10,27,0,0,26,false
gossip,10,28,0,0,25,false
gossip,10,29,0,0,36,false
gossip,10,30,0,0,32,false
gossip,10,31,0,0,24,false
gossip,10,32,0,5,98,true
gossip,10,34,3,3,16,false
gossip,10,35,3,3,25,false
gossip,10,36,3,3,17,false
gossip,10,37,3,3,21,false
gossip,10,38,5,5,12,false
gossip,10,39,5,5,27,false
gossip,10,40,5,5,32,false
gossip,10,41,5,5,29,false
gossip,10,42,5,5,17,false
gossip,10,43,2,2,15,false
gossip,10,44,2,2,30,false
gossip,10,45,2,2,22,false
gossip,10,46,2,2,25,false
gossip,10,47,0,0,25,false
gossip,10,48,0,0,27,false
gossip,10,49,0,0,29,false
gossip,10,50,0,0,16,false
gossip,10,51,0,0,22,false
gossip,10,52,0,0,31,false
gossip,10,53,0,0,29,false
gossip,10,54,0,0,28,false
gossip,10,55,0,0,34,false
gossip,10,56,0,0,24,false
gossip,10,57,0,0,17,false
gossip,10,58,0,0,21,false
gossip,10,59,0,0,20,false
gossip,10,60,0,0,27,false
gossip,10,61,1,1,31,false
gossip,10,62,1,1,17,false
gossip,10,63,1,1,35,false
gossip,10,64,1,1,35,false
gossip,10,65,1,1,17,false
gossip,10,66,3,3,16,false
gossip,10,67,3,3,40,false
gossip,10,68,3,3,20,false
gossip,10,69,3,3,14,false
gossip,10,70,2,2,18,false
gossip,10,71,2,2,28,false
gossip,10,72,2,2,20,false
gossip,10,73,2,2,20,false
gossip,10,74,2,2,29,false
gossip,10,75,0,0,15,false
gossip,10,76,0,0,16,false
gossip,10,77,0,0,32,false
gossip,10,78,0,0,15,false
gossip,10,79,0,0,15,false
gossip,10,81,0,0,34,false
gossip,10,82,0,0,44,false
gossip,10,83,0,0,16,false
gossip,10,84,0,0,32,false
gossip,10,86,1,1,17,false
gossip,10,87,1,1,15,false
gossip,10,88,1,1,18,false
gossip,10,89,1,1,18,false
gossip,10,90,1,1,16,false
gossip,10,100,7,7,34,false
gossip,10,101,7,7,32,false
gossip,10,102,7,7,22,false
gossip,10,103,10,10,23,false
gossip,10,104,10,10,19,false
gossip,10,105,10,10,16,false
gossip,10,106,10,10,17,false
gossip,10,107,10,10,28,false
gossip,10,108,9,9,16,false
gossip,10,109,9,9,22,false
gossip,10,110,9,9,32,false
gossip,10,111,9,9,16,false
gossip,10,112,9,13,14,true
gossip,10,113,13,13,30,false
gossip,10,114,13,13,27,false
gossip,10,115,13,13,21,false
gossip,10,116,13,13,45,false
gossip,10,117,9,9,15,false
gossip,10,118,9,9,18,false
gossip,10,119,9,9,37,false
gossip,10,120,9,9,33,false
gossip,10,121,9,9,23,false
gossip,10,122,11,11,16,false
gossip,10,123,11,11,34,false
gossip,10,124,11,11,29,false
gossip,10,125,11,11,21,false
gossip,10,126,11,16,28,true
gossip,10,127,16,16,28,false
gossip,10,128,16,16,15,false
gossip,10,129,16,16,16,false
gossip,10,130,16,16,15,false
gossip,10,131,16,16,44,false
gossip,10,132,16,16,14,false
gossip,10,133,16,16,28,false
gossip,10,134,16,16,27,false
gossip,10,135,16,16,16,false
gossip,10,136,20,20,15,false
gossip,10,137,20,20,41,false
gossip,10,138,20,20,35,false
gossip,10,139,20,20,18,false
gossip,10,140,17,17,187,false
gossip,10,141,17,17,29,false
gossip,10,142,17,17,85,false
gossip,10,143,17,17,14,false
gossip,10,144,17,17,15,false
gossip,10,145,14,14,30,false
gossip,10,146,14,14,18,false
gossip,10,147,14,14,19,false
gossip,10,148,14,14,23,false
