# coordinator_comparison mode=gossip n=20 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 → client sees 6 workers, 6 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,20,0,15,15,8,false
gossip,20,1,15,15,29,false
gossip,20,2,15,15,23,false
gossip,20,3,15,15,23,false
gossip,20,4,19,19,14,false
gossip,20,5,19,19,21,false
gossip,20,6,19,19,42,false
gossip,20,7,19,19,26,false
gossip,20,8,19,19,21,false
gossip,20,9,17,17,23,false
gossip,20,10,17,17,19,false
gossip,20,11,17,17,13,false
gossip,20,12,17,17,30,false
gossip,20,13,13,13,51,false
gossip,20,14,13,13,21,false
gossip,20,15,13,13,30,false
gossip,20,16,13,13,22,false
gossip,20,17,13,13,53,false
gossip,20,18,16,16,20,false
gossip,20,19,16,16,20,false
gossip,20,20,16,16,18,false
gossip,20,21,16,16,20,false
gossip,20,22,16,16,20,false
gossip,20,23,18,18,21,false
gossip,20,24,18,18,12,false
gossip,20,25,18,18,23,false
gossip,20,26,18,18,13,false
gossip,20,27,19,19,73,false
gossip,20,28,19,19,12,false
gossip,20,29,19,19,12,false
gossip,20,30,19,19,56,false
gossip,20,31,19,19,26,false
gossip,20,32,15,15,18,false
gossip,20,33,15,15,22,false
gossip,20,34,15,15,25,false
gossip,20,35,15,15,22,false
gossip,20,36,15,18,13,true
gossip,20,37,18,18,21,false
gossip,20,38,18,18,24,false
gossip,20,39,18,18,26,false
gossip,20,40,18,18,21,false
gossip,20,41,16,16,22,false
gossip,20,42,16,16,22,false
gossip,20,43,16,16,29,false
gossip,20,44,16,16,14,false
gossip,20,45,16,16,23,false
gossip,20,46,21,21,28,false
gossip,20,47,21,21,12,false
gossip,20,48,21,21,14,false
gossip,20,49,21,21,11,false
gossip,20,50,24,24,12,false
gossip,20,51,24,24,12,false
gossip,20,52,24,24,19,false
gossip,20,53,24,24,12,false
gossip,20,54,24,24,12,false
gossip,20,55,22,22,24,false
gossip,20,56,22,22,22,false
gossip,20,57,22,22,11,false
gossip,20,58,22,22,14,false
gossip,20,59,22,25,85,true
gossip,20,60,25,25,12,false
gossip,20,61,25,25,12,false
gossip,20,62,25,25,23,false
gossip,20,63,25,25,13,false
gossip,20,64,23,23,19,false
gossip,20,65,23,23,10,false
gossip,20,66,23,23,12,false
gossip,20,67,23,23,11,false
gossip,20,68,23,23,12,false
gossip,20,69,23,23,14,false
gossip,20,70,23,23,26,false
gossip,20,71,23,23,22,false
gossip,20,72,23,23,11,false
gossip,20,73,23,23,576,false
gossip,20,74,23,23,13,false
gossip,20,75,23,23,10,false
gossip,20,76,23,23,13,false
gossip,20,77,23,23,11,false
gossip,20,78,21,21,16,false
gossip,20,79,21,21,11,false
gossip,20,80,21,21,11,false
gossip,20,81,21,21,11,false
gossip,20,82,21,21,33,false
gossip,20,83,26,26,11,false
gossip,20,84,26,26,22,false
gossip,20,85,26,26,12,false
gossip,20,86,26,26,23,false
gossip,20,87,24,24,32,false
gossip,20,88,24,24,11,false
gossip,20,89,24,24,12,false
gossip,20,90,24,24,16,false
gossip,20,91,24,24,28,false
gossip,20,92,23,23,11,false
gossip,20,93,23,23,12,false
gossip,20,94,23,23,11,false
gossip,20,95,23,23,12,false
gossip,20,96,23,23,13,false
gossip,20,97,19,19,12,false
gossip,20,98,19,19,17,false
gossip,20,99,19,19,25,false
gossip,20,100,19,19,30,false
gossip,20,101,19,19,25,false
gossip,20,102,19,19,25,false
gossip,20,103,19,19,19,false
gossip,20,104,19,19,17,false
gossip,20,105,19,19,25,false
gossip,20,106,16,16,12,false
gossip,20,107,16,16,21,false
gossip,20,108,16,16,15,false
gossip,20,109,16,16,12,false
gossip,20,110,16,16,16,false
gossip,20,111,12,12,23,false
gossip,20,112,12,12,19,false
gossip,20,113,12,12,12,false
gossip,20,114,12,12,20,false
gossip,20,115,11,11,32,false
gossip,20,116,11,11,13,false
gossip,20,117,11,11,25,false
gossip,20,118,11,11,24,false
gossip,20,119,11,11,12,false
gossip,20,120,11,11,11,false
gossip,20,121,11,11,11,false
gossip,20,122,11,11,12,false
gossip,20,123,11,11,11,false
gossip,20,124,11,9,23,false
gossip,20,125,9,9,11,false
gossip,20,126,9,9,20,false
gossip,20,127,9,9,17,false
gossip,20,128,9,9,17,false
gossip,20,129,12,12,12,false
gossip,20,130,12,12,30,false
gossip,20,131,12,12,15,false
gossip,20,132,12,12,27,false
gossip,20,133,12,12,19,false
gossip,20,134,11,11,18,false
gossip,20,135,11,11,26,false
gossip,20,136,11,11,20,false
gossip,20,137,11,11,19,false
gossip,20,138,7,7,20,false
gossip,20,139,7,7,22,false
gossip,20,140,7,7,827,false
gossip,20,141,7,7,21,false
gossip,20,142,7,7,25,false
gossip,20,143,12,12,22,false
gossip,20,144,12,12,25,false
gossip,20,145,12,12,14,false
gossip,20,146,12,12,23,false
gossip,20,147,12,12,29,false
gossip,20,148,16,16,30,false
gossip,20,149,16,16,35,false
gossip,20,150,16,16,14,false
gossip,20,151,16,16,14,false
gossip,20,152,13,13,23,false
gossip,20,153,13,13,14,false
gossip,20,154,13,13,25,false
gossip,20,155,13,13,28,false
gossip,20,156,13,13,12,false
gossip,20,157,15,15,16,false
gossip,20,158,15,15,24,false
gossip,20,159,15,15,19,false
gossip,20,160,15,15,13,false
gossip,20,161,15,13,13,false
gossip,20,162,13,13,27,false
gossip,20,163,13,13,12,false
gossip,20,164,13,13,24,false
gossip,20,165,13,13,20,false
gossip,20,166,18,18,22,false
gossip,20,167,18,18,21,false
gossip,20,168,18,18,20,false
gossip,20,169,18,18,13,false
gossip,20,170,18,18,26,false
gossip,20,171,14,14,14,false
gossip,20,172,14,14,37,false
gossip,20,173,14,14,29,false
gossip,20,174,14,14,24,false
gossip,20,175,15,15,15,false
gossip,20,176,15,15,24,false
gossip,20,177,15,15,14,false
gossip,20,178,15,15,12,false
gossip,20,179,15,15,26,false
gossip,20,180,19,19,17,false
gossip,20,181,19,19,13,false
