arm,n,het,drift,seed,lambda_hz,submitted,completed,thr_hz,mean_ms,p50_ms,p95_ms,p99_ms,iwwe,jain
pull,20,0,0,1,162.50,6482,5642,161.19,82.66,81.93,86.35,99.12,0.05007,1.0000
gossip,20,0,0,1,162.50,6481,5642,161.15,89.32,81.97,141.74,160.78,0.15045,0.9672
broker,20,0,0,1,162.50,6481,5642,161.15,90.75,82.34,143.10,164.00,0.15692,0.9665
pull,20,0,0.05,1,162.50,6482,5639,161.10,84.28,82.23,118.51,129.90,0.05282,0.9963
gossip,20,0,0.05,1,162.50,6481,5637,161.04,90.03,83.77,143.42,193.42,0.18563,0.9713
broker,20,0,0.05,1,162.50,6481,5637,161.03,94.41,87.72,157.07,206.39,0.21464,0.9290
pull,20,0,0.2,1,162.50,6482,5637,161.04,99.86,69.22,316.62,519.05,0.03853,0.9801
gossip,20,0,0.2,1,162.50,6481,5636,161.02,111.49,73.13,354.00,678.85,0.17941,0.9734
broker,20,0,0.2,1,162.50,6481,5626,160.73,122.53,80.16,382.89,763.84,0.18649,0.9430
pull,20,0.25,0,1,162.50,6482,5641,161.16,84.74,79.38,123.29,128.41,0.05653,0.9934
gossip,20,0.25,0,1,162.50,6481,5638,161.04,90.48,81.13,138.97,198.41,0.18844,0.9714
broker,20,0.25,0,1,162.50,6481,5634,160.94,92.16,82.62,149.66,207.23,0.19382,0.9707
pull,20,0.25,0.05,1,162.50,6482,5639,161.10,86.51,85.39,138.12,165.69,0.04821,0.9910
gossip,20,0.25,0.05,1,162.50,6481,5636,160.99,93.12,87.59,162.81,215.36,0.17524,0.9711
broker,20,0.25,0.05,1,162.50,6481,5642,161.17,94.35,88.37,168.68,231.37,0.19789,0.9691
pull,20,0.25,0.2,1,162.50,6482,5639,161.10,108.10,57.73,367.11,655.28,0.03278,0.9797
gossip,20,0.25,0.2,1,162.50,6481,5629,160.81,117.31,72.09,370.50,819.56,0.18163,0.9769
broker,20,0.25,0.2,1,162.50,6481,5629,160.82,126.24,82.49,397.11,768.86,0.16270,0.9758
pull,20,0.5,0,1,162.50,6482,5641,161.16,89.48,76.89,186.97,202.94,0.04853,0.9819
gossip,20,0.5,0,1,162.50,6481,5638,161.07,97.44,80.31,201.50,300.20,0.21069,0.9690
broker,20,0.5,0,1,162.50,6481,5640,161.08,101.13,81.40,203.05,318.79,0.19667,0.9633
pull,20,0.5,0.05,1,162.50,6482,5642,161.18,91.53,80.20,197.80,231.86,0.04592,0.9822
gossip,20,0.5,0.05,1,162.50,6481,5639,161.06,101.12,83.25,221.12,340.52,0.17658,0.9692
broker,20,0.5,0.05,1,162.50,6481,5632,160.90,101.58,84.20,220.16,331.25,0.20251,0.9691
pull,20,0.5,0.2,1,162.50,6482,5635,160.99,110.97,48.42,398.86,682.08,0.03021,0.9808
gossip,20,0.5,0.2,1,162.50,6481,5630,160.84,121.04,62.90,398.91,900.75,0.16916,0.9818
broker,20,0.5,0.2,1,162.50,6481,5630,160.84,130.71,69.06,432.86,944.52,0.14759,0.9738
pull,20,1,0,1,162.50,6482,5636,161.02,99.21,68.77,316.87,481.86,0.03428,0.9719
gossip,20,1,0,1,162.50,6481,5636,160.97,113.45,70.44,386.21,628.81,0.17180,0.9644
broker,20,1,0,1,162.50,6480,5635,160.99,116.85,70.76,404.14,604.79,0.19564,0.9494
