arm,n,het,drift,seed,lambda_hz,submitted,completed,thr_hz,mean_ms,p50_ms,p95_ms,p99_ms,iwwe,jain
pull,20,0,0,1,162.50,6481,5642,161.18,82.77,81.95,87.12,100.95,0.05028,0.9997
gossip,20,0,0,1,162.50,6481,5641,161.13,89.42,81.96,145.34,161.63,0.14635,0.9655
broker,20,0,0,1,162.50,6481,5642,161.15,90.59,82.26,141.97,161.80,0.15145,0.9666
pull,20,0,0.05,1,162.50,6481,5642,161.15,2976.93,2867.29,6336.62,6601.88,0.03603,0.9999
gossip,20,0,0.05,1,162.50,6480,5636,161.03,92.39,85.08,151.80,201.88,0.19457,0.9637
broker,20,0,0.05,1,162.50,6481,5641,161.15,91.74,85.73,145.36,199.42,0.18076,0.9656
pull,20,0,0.2,1,162.50,6481,5637,161.03,105.30,72.61,315.72,510.29,0.04385,0.9788
gossip,20,0,0.2,1,162.50,6481,5636,160.98,108.99,72.20,344.33,668.98,0.18487,0.9789
broker,20,0,0.2,1,162.50,6481,5632,160.88,110.52,71.49,351.85,711.72,0.19743,0.9739
pull,20,0.25,0,1,162.50,6481,6029,172.25,2929.06,2818.05,6536.89,6897.62,0.06460,0.9996
gossip,20,0.25,0,1,162.50,6481,5639,161.07,92.58,83.56,151.21,202.22,0.20687,0.9693
broker,20,0.25,0,1,162.50,6481,5632,160.91,92.50,83.16,146.59,212.62,0.19917,0.9689
pull,20,0.25,0.05,1,162.50,6481,5639,161.10,86.48,84.98,138.38,166.26,0.04653,0.9911
gossip,20,0.25,0.05,1,162.50,6481,5639,161.06,93.23,86.43,162.64,230.48,0.17084,0.9682
broker,20,0.25,0.05,1,162.50,6481,5640,161.11,95.30,88.65,170.03,245.08,0.20710,0.9666
pull,20,0.25,0.2,1,162.50,6481,5436,155.30,3842.22,3835.27,6852.33,7123.48,0.02646,0.9980
gossip,20,0.25,0.2,1,162.50,6481,5631,160.85,119.45,77.92,378.49,783.82,0.16586,0.9725
broker,20,0.25,0.2,1,162.50,6481,5632,160.89,117.21,69.94,377.60,747.79,0.20847,0.9296
pull,20,0.5,0,1,162.50,6481,5640,161.13,89.83,77.09,186.98,202.76,0.04746,0.9814
gossip,20,0.5,0,1,162.50,6481,5636,161.01,97.82,80.51,201.73,314.58,0.18970,0.9683
broker,20,0.5,0,1,162.50,6481,5636,161.02,102.41,82.77,207.03,336.60,0.20888,0.9608
pull,20,0.5,0.05,1,162.50,6481,5644,161.22,91.50,80.01,198.87,232.00,0.04581,0.9820
gossip,20,0.5,0.05,1,162.50,6481,5639,161.07,100.65,83.89,217.61,349.18,0.18085,0.9674
broker,20,0.5,0.05,1,162.50,6481,5637,161.05,101.30,84.14,222.21,327.27,0.20174,0.9726
pull,20,0.5,0.2,1,162.50,6481,5630,160.84,4131.46,4127.78,7215.03,7530.47,0.02668,0.9984
gossip,20,0.5,0.2,1,162.50,6481,5630,160.81,125.95,71.27,414.35,875.60,0.14503,0.9773
broker,20,0.5,0.2,1,162.50,6481,5628,160.76,136.12,75.68,438.50,1011.82,0.15043,0.9768
pull,20,1,0,1,162.50,6481,5638,161.07,99.27,68.86,316.60,481.74,0.03764,0.9721
gossip,20,1,0,1,162.50,6481,5634,160.95,115.72,69.98,422.18,708.22,0.18323,0.9618
broker,20,1,0,1,162.50,6481,5636,161.01,114.82,69.56,386.94,716.95,0.19855,0.9605
pull,20,1,0.05,1,162.50,6481,5560,158.84,3496.26,3486.09,6641.44,6950.78,0.02678,0.9981
gossip,20,1,0.05,1,162.50,6481,5633,160.92,109.82,71.43,384.80,575.58,0.16948,0.9726
broker,20,1,0.05,1,162.50,6481,5636,161.02,111.64,69.73,399.41,627.86,0.19206,0.9694
pull,20,1,0.2,1,162.50,6481,5638,161.07,112.49,45.02,373.61,881.86,0.02721,0.9814
gossip,20,1,0.2,1,162.50,6481,5634,160.93,145.43,50.73,534.37,1181.00,0.10597,0.9778
broker,20,1,0.2,1,162.50,6481,5628,160.78,149.72,53.15,528.91,1348.13,0.11559,0.9797
pull,20,0,0,2,162.50,6507,5651,161.44,82.60,81.97,85.79,98.34,0.05389,0.9997
gossip,20,0,0,2,162.50,6507,5650,161.41,88.58,81.96,137.58,160.84,0.15598,0.9663
broker,20,0,0,2,162.50,6507,5652,161.46,91.13,82.39,140.25,161.81,0.19946,0.9659
pull,20,0,0.05,2,162.50,6507,5652,161.47,84.34,83.95,119.30,142.70,0.05039,0.9968
gossip,20,0,0.05,2,162.50,6507,5651,161.41,93.42,87.97,155.31,197.40,0.17423,0.9617
broker,20,0,0.05,2,162.50,6506,5650,161.42,92.57,87.94,150.19,193.35,0.19863,0.9721
pull,20,0,0.2,2,162.50,6507,5647,161.33,103.95,66.62,306.90,573.56,0.03307,0.9829
gossip,20,0,0.2,2,162.50,6507,5647,161.29,118.75,72.92,374.26,761.14,0.15895,0.9767
broker,20,0,0.2,2,162.50,6507,5646,161.28,122.23,68.28,396.18,830.93,0.19878,0.9498
pull,20,0.25,0,2,162.50,6507,5654,161.50,84.84,80.45,133.21,170.88,0.05263,0.9925
gossip,20,0.25,0,2,162.50,6507,5648,161.34,91.59,82.70,168.84,206.50,0.19075,0.9632
broker,20,0.25,0,2,162.50,6507,5650,161.42,93.50,85.69,169.35,206.24,0.20531,0.9679
pull,20,0.25,0.05,2,162.50,6507,5650,161.41,86.73,84.20,149.00,237.38,0.05267,0.9894
gossip,20,0.25,0.05,2,162.50,6507,5649,161.35,92.24,86.41,171.20,264.78,0.19708,0.9720
broker,20,0.25,0.05,2,162.50,6507,5646,161.30,95.40,88.98,178.97,272.88,0.20216,0.9686
pull,20,0.25,0.2,2,162.50,6507,5648,161.36,105.46,74.13,290.81,614.79,0.03471,0.9838
gossip,20,0.25,0.2,2,162.50,6507,5645,161.27,130.68,81.06,391.39,859.35,0.14888,0.9771
broker,20,0.25,0.2,2,162.50,6507,5641,161.16,136.19,84.01,403.52,953.36,0.14974,0.9765
pull,20,0.5,0,2,162.50,6507,5650,161.41,89.20,76.00,154.92,359.73,0.04528,0.9818
gossip,20,0.5,0,2,162.50,6507,5648,161.34,100.20,82.34,226.88,360.23,0.21075,0.9606
broker,20,0.5,0,2,162.50,6506,5647,161.33,102.51,83.72,233.09,361.61,0.22795,0.9635
pull,20,0.5,0.05,2,162.50,6507,5651,161.45,91.65,84.92,194.85,338.32,0.03821,0.9799
gossip,20,0.5,0.05,2,162.50,6506,5647,161.34,101.30,89.38,219.44,456.87,0.20378,0.9676
broker,20,0.5,0.05,2,162.50,6507,5652,161.44,101.77,90.52,216.27,440.75,0.19905,0.9689
pull,20,0.5,0.2,2,162.50,6507,5649,161.38,108.36,69.66,310.12,670.51,0.03564,0.9834
gossip,20,0.5,0.2,2,162.50,6507,5644,161.20,135.93,80.43,412.44,956.81,0.13417,0.9789
broker,20,0.5,0.2,2,162.50,6507,5642,161.17,143.16,82.93,440.44,1005.68,0.12212,0.9791
pull,20,1,0,2,162.50,6507,5650,161.40,98.19,50.17,293.49,583.26,0.03814,0.9695
gossip,20,1,0,2,162.50,6507,5644,161.24,110.17,72.00,294.71,583.86,0.18780,0.9637
