# coordinator_comparison mode=gossip n=40 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 29/40 29/40 29/40 29/40 29/40 29/40 29/40 29/40 29/40 29/40 29/40 29/40 → client sees 29 workers, 29 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,40,0,5,5,20,false
gossip,40,1,5,5,44,false
gossip,40,2,5,5,45,false
gossip,40,3,5,5,60,false
gossip,40,4,6,6,64,false
gossip,40,5,6,6,90,false
gossip,40,6,6,6,64,false
gossip,40,7,6,6,77,false
gossip,40,8,6,9,53,true
gossip,40,9,9,9,78,false
gossip,40,10,9,9,68,false
gossip,40,11,9,9,40,false
gossip,40,12,9,9,67,false
gossip,40,13,6,6,73,false
gossip,40,14,6,6,162,false
gossip,40,15,6,6,30,false
gossip,40,16,6,6,43,false
gossip,40,17,6,6,41,false
gossip,40,18,5,5,51,false
gossip,40,19,5,5,43,false
gossip,40,20,5,5,33,false
gossip,40,21,5,5,30,false
gossip,40,22,8,8,31,false
gossip,40,23,8,8,30,false
gossip,40,24,8,8,26,false
gossip,40,25,8,8,28,false
gossip,40,26,8,8,59,false
gossip,40,27,10,10,26,false
gossip,40,28,10,10,38,false
gossip,40,29,10,10,29,false
gossip,40,30,10,10,31,false
gossip,40,31,10,6,33,false
gossip,40,32,6,6,32,false
gossip,40,33,6,6,38,false
gossip,40,34,6,6,61,false
gossip,40,35,6,6,37,false
gossip,40,36,8,8,33,false
gossip,40,37,8,8,50,false
gossip,40,38,8,8,43,false
gossip,40,39,8,8,41,false
gossip,40,40,8,8,100,false
gossip,40,41,9,9,32,false
gossip,40,42,9,9,39,false
gossip,40,43,9,9,68,false
gossip,40,44,9,9,41,false
gossip,40,45,10,10,25,false
gossip,40,46,10,10,33,false
gossip,40,47,10,10,39,false
gossip,40,48,10,10,39,false
gossip,40,49,10,10,34,false
gossip,40,50,9,9,32,false
gossip,40,51,9,9,28,false
gossip,40,52,9,9,31,false
gossip,40,53,9,9,50,false
gossip,40,54,5,5,24,false
gossip,40,55,5,5,32,false
gossip,40,56,5,5,41,false
gossip,40,57,5,5,27,false
gossip,40,58,5,5,29,false
gossip,40,59,5,5,38,false
gossip,40,60,5,5,26,false
gossip,40,61,5,5,35,false
gossip,40,62,5,5,27,false
gossip,40,63,5,5,31,false
gossip,40,64,5,5,30,false
gossip,40,65,5,5,26,false
gossip,40,66,5,5,28,false
gossip,40,67,5,5,63,false
gossip,40,68,4,4,25,false
gossip,40,69,4,4,45,false
gossip,40,70,4,4,30,false
gossip,40,71,4,4,29,false
gossip,40,72,4,4,57,false
